label,policy,request_rate_rps,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
fcfs-0.5-rps,fcfs,0.5,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,97.26694577501607,0.02023767999980919,0.026557242999842856,0.027879599000243616,0.0073848618253975025,0.008097700599999024,0.008337867724409495,1.1056907209999736,3.2651270979999936,3.4426037009998254,0.0008825760000945593,0.0018517990001782891,0.002222907000032137,0.0024853280001480016,1.0,1.0,1.0,0.0,1.0
static-priority-0.5-rps,static_priority,0.5,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,97.1495458972515,0.020264015000066138,0.025005586000133917,0.02741139199997633,0.007316473728814483,0.008218660547618129,0.008370865127572596,1.1161565480001627,3.22024327500003,3.5979927450002833,0.0008908940003493626,0.0018713320000642852,0.0025584690001778654,0.002646535000167205,1.0,1.0,1.0,0.0,1.0
fcfs-1-rps,fcfs,1.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,188.3477244740459,0.022679999000047246,0.028806085999804054,0.032683689999885246,0.00785409818471328,0.009037114603767616,0.009698784341464222,1.2529517439998017,3.4943378279999706,3.719648055000107,0.0006155129999569908,0.0011499470001581358,0.002206453999860969,0.002405548999831808,1.0,1.0,1.0,0.0,1.0
static-priority-1-rps,static_priority,1.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,187.5110373260116,0.02417614699970727,0.02999800999987201,0.032036761999734154,0.008743471462312026,0.00945389811403673,0.009853372777778197,1.322440810000444,3.726324864000162,4.156545945999824,0.0006650619998254115,0.0011813419996542507,0.0017055789994628867,0.002150540999537043,1.0,1.0,1.0,0.0,1.0
fcfs-1.5-rps,fcfs,1.5,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,270.4739528558952,0.023302015999433934,0.030308275000606955,0.25283638699966104,0.007825870465112954,0.008913787416683286,0.009145690650607814,1.253078457999436,3.331759453666564,3.6187145386675184,0.0006552699996973388,0.0013911010000811075,0.23046477099978802,0.23525390900067578,1.0,1.0,1.0,0.0,1.0
static-priority-1.5-rps,static_priority,1.5,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,269.2897003076045,0.026054390333229094,0.2030070443324803,0.46999030166716693,0.008934593834507249,0.009558853370368457,0.009923838985914828,1.5086143363323572,3.640055190332532,4.27734594366666,0.000623735666522407,0.17595639233240945,0.4437747056663284,0.5783390746673831,1.0,1.0,1.0,0.0,1.0
fcfs-2-rps,fcfs,2.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,340.7449874503283,0.027261193999947864,0.7269890479992682,1.32600046799962,0.008618706007812449,0.009650705458099571,0.010649018312497966,1.7239592420000918,3.708104419999472,4.5739756819994,0.0008938199998738128,0.6881185429992911,1.2962505349996718,1.4064289079997252,1.0,1.0,1.0,0.0,1.0
static-priority-2-rps,static_priority,2.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,354.3650272126643,0.030594732999816188,1.0924853269998493,1.9306243869996251,0.008780890880955537,0.009620351993377477,0.010085163170737271,1.7604220690000147,3.9627107109999997,5.131305377999524,0.0010775640002975706,1.067208080000455,1.9044426390000808,2.345654182000544,0.9944444444444445,0.9871794871794872,1.0,0.012820512820512775,0.9999583784233748
fcfs-3-rps,fcfs,3.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,423.93688655371733,3.2600075970003672,5.135380294999777,5.516897240000617,0.008257991938567862,0.009199118666669958,0.009303553679256886,4.977806275999683,6.984129134667455,7.824410588999854,3.238238509000439,5.109096528667578,5.490853594000328,5.583951426333442,0.6166666666666667,0.11538461538461539,1.0,0.8846153846153846,0.6138686131386861
static-priority-3-rps,static_priority,3.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,435.08269031029755,0.9541297123332697,5.417220151667607,6.3763621496673295,0.007888110530908637,0.009028936743596625,0.00908499273509733,2.8177133786675768,7.659279171667549,9.067052247332867,0.9318988833329058,5.39065633566679,6.353096067667138,6.6170334930002355,1.0,1.0,1.0,0.0,1.0
