label,policy,request_rate_rps,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
full,slo_aware,2.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,346.2411846701911,0.025756686000022455,0.8636002459998053,1.9629016439994302,0.008268485980396707,0.009014983834167102,0.009060429986663317,1.6122742580000704,3.4401918829998976,4.647221121000257,0.000854394000270986,0.8402246320001723,1.9369594230001894,2.1396916730000157,0.9944444444444445,0.9871794871794872,1.0,0.012820512820512775,0.9999583784233748
no-slack,slo_aware,2.0,0.5,4,3.0,1.0,0.0,1.0,False,180,180,0,0,0,0,349.86604608670706,0.0264140489998681,0.5148400540001603,0.8743664229996284,0.008164553853930556,0.009251288678773074,0.009368158756110571,1.5329301709998617,3.5175014380001812,4.05175410999982,0.0008383120002690703,0.4889741369997864,0.8465134849993774,1.018960096000228,1.0,1.0,1.0,0.0,1.0
no-aging,slo_aware,2.0,0.5,4,1000000.0,1.0,1.0,1.0,False,180,180,0,0,0,0,351.3419375208043,0.025678524000795733,0.951952725999945,2.232449410999834,0.00790799771153872,0.009198728863245775,0.009294222943403924,1.5782760829997642,3.44096038600037,4.501723022999613,0.000816026999927999,0.929545648000385,2.20551552500001,2.388577097999587,0.9944444444444445,0.9871794871794872,1.0,0.012820512820512775,0.9999583784233748
no-length-estimate,slo_aware,2.0,0.5,4,3.0,1.0,1.0,1.0,True,180,180,0,0,0,0,350.38542380725204,0.02807159399981174,0.6928225209994707,1.4212070759995186,0.008771825330910692,0.00896467532894556,0.009024235687241871,1.6722517230000449,3.9237355779996506,4.654280214999744,0.0009961590003513265,0.6711541639997449,1.3956346699997084,1.4586254650002957,1.0,1.0,1.0,0.0,1.0
