label,policy,request_rate_rps,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
aging-3s,slo_aware,3.0,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,468.0310444616315,1.0308280983335862,3.2802837706658465,3.578831167333192,0.007432408148147222,0.007958238307228057,0.007994046943641595,2.723329548000038,5.623742735333508,6.544183427333337,1.0099040083332511,3.257263111665452,3.555204230333402,3.8562440366658848,0.9333333333333333,0.8461538461538461,1.0,0.15384615384615385,0.9931034482758623
aging-10s,slo_aware,3.0,0.5,4,10.0,1.0,1.0,1.0,False,180,180,0,0,0,0,447.43715905781863,1.1396439013333293,5.137254100332939,6.999111324999831,0.0076705697947003475,0.008794779102566817,0.008873422012047412,2.749042699666461,7.567506861332731,9.328776944999845,1.1168393726657087,5.1115790823332645,6.9773937669997395,7.071704884332576,0.9888888888888889,0.9743589743589743,1.0,0.02564102564102566,0.999831365935919
aging-30s,slo_aware,3.0,0.5,4,30.0,1.0,1.0,1.0,False,180,180,0,0,0,0,443.7895389609003,1.125981759667411,4.497072378999292,6.028720305666866,0.007815318699106209,0.008112254339618442,0.008878705003901644,2.806282672667294,6.833969547666129,7.946054948999517,1.103713329666789,4.4747450679988106,6.007110913666111,6.443069983664827,0.9833333333333333,0.9615384615384616,1.0,0.038461538461538436,0.9996156802459648
aging-inf,slo_aware,3.0,0.5,4,1000000.0,1.0,1.0,1.0,False,180,180,0,0,0,0,426.488839593867,1.2501780346647138,6.428953068665578,8.107771327999217,0.008021693853640122,0.00902662680553274,0.009113005600011093,2.96457344099872,8.951697458000126,10.735813156999939,1.223949867666306,6.402497284665515,8.081576849999692,8.245343908665745,0.95,0.8846153846153846,1.0,0.11538461538461542,0.9962655601659751
