label,policy,request_rate_rps,random_seed,interactive_fraction,max_in_flight,aging_threshold_s,cost_weight,slack_weight,waiting_weight,disable_length_estimate,request_count,success_count,error_count,timeout_count,cancelled_count,rejected_count,token_throughput_per_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_p50_s,tpot_p95_s,tpot_p99_s,end_to_end_p50_s,end_to_end_p95_s,end_to_end_p99_s,queue_wait_p50_s,queue_wait_p95_s,queue_wait_p99_s,longest_queue_wait_s,slo_overall_rate,slo_interactive_rate,slo_batch_rate,slo_attainment_gap,jain_fairness_index
fcfs-mns32,fcfs,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,474.3031680798545,1.610112101330742,3.345758202667639,3.7468855309998617,0.00731617561999883,0.008109235943945954,0.008162885598202203,2.9600695059998543,5.046389538332733,6.026911324333923,1.5868564283300657,3.3228072086676548,3.7236384579991864,3.91987861666712,0.7222222222222222,0.358974358974359,1.0,0.641025641025641,0.8179965055329064
slo-mns32,slo_aware,3.0,20250825,0.5,4,3.0,1.0,1.0,1.0,False,180,180,0,0,0,0,442.38036588231404,2.410266897000838,4.53026913366557,4.923250948664645,0.007942577029147116,0.008662627699959558,0.008687590284744608,4.1378738616695045,6.284577262998937,7.379545194329694,2.3885187650012085,4.5062082196673146,4.898926590667543,4.913399602664867,0.8055555555555556,0.5512820512820513,1.0,0.4487179487179487,0.9227908735661162
